# NaturezaJuridicaOrganograma
# Part 2
# This is a continuation of the NaturezaJuridicaOrganograma enum
Enum: NaturezaJuridicaOrganograma
- 122-8 - Consórcio público de direito privado (Key: CONSORCIO_PUBLICO_DIREITO_PRIVADO, Value: 21)
- 123-6 - Estado ou Distrito Federal (Key: ESTADO_OU_DISTRITO_FEDERAL, Value: 22)
- 124-4 - Município (Key: MUNICIPIO, Value: 23)
- 125-2 - Fundação Pública de Direito Privado Federal (Key: FUNDACAO_PUBLICA_DIREITO_PRIVADO_FEDERAL, Value: 24)
- 126-0 - Fundação Pública de Direito Privado Estadual ou do Distrito Federal (Key: FUNDACAO_PUBLICA_DIREITO_PRIVADO_ESTADUAL_OU_DISTRITO_FEDERAL, Value: 25)
- 127-9 - Fundação Pública de Direito Privado Municipal (Key: FUNDACAO_PUBLICA_DIREITO_PRIVADO_MUNICIPAL, Value: 26)
- 128-7 - Fundo Público da Administração Indireta Federal (Key: FUNDO_PUBLICO_ADM_INDIRETA_FEDERAL, Value: 27)
- 129-5 - Fundo Público da Administração Indireta Estadual ou do Distrito Federal (Key: FUNDO_PUBLICO_ADM_INDIRETA_ESTADUAL_OU_DIST_FED, Value: 28)
- 130-9 - Fundo Público da Administração Indireta Municipal (Key: FUNDO_PUBLICO_ADM_INDIRETA_MUNICIPAL, Value: 29)
- 131-7 - Fundo Público da Administração Direta Federal (Key: FUNDO_PUBLICO_ADM_DIRETA_FED, Value: 30)
- 132-5 - Fundo Público da Administração Direta Estadual ou do Distrito Federal (Key: FUNDO_PUBLICO_ADM_DIRETA_ESTADUAL_OU_DIST_FED, Value: 31)
- 133-3 - Fundo Público da Administração Direta Municipal (Key: FUNDO_PUBLICO_ADM_DIRETA_MUNICIPAL, Value: 32)
- 201-1 - Empresa Pública (Key: EMPRESA_PUBLICA, Value: 33)
- 203-8 - Sociedade de Economia Mista (Key: SOCIEDADE_ECONOMIA_MISTA, Value: 34)
- 204-6 - Sociedade Anônima Aberta (Key: SOCIEDADE_ANONIMA_ABERTA, Value: 35)
- 205-4 - Sociedade Anônima Fechada (Key: SOCIEDADE_ANONIMA_FECHADA, Value: 36)
- 206-2 - Sociedade Empresária Limitada (Key: SOCIEDADE_EMPRESARIA_LIMITADA, Value: 37)
- 207-0 - Sociedade Empresária em Nome Coletivo (Key: SOCIEDADE_EMPRESARIA_NOME_COLETIVO, Value: 38)
- 208-9 - Sociedade Empresária em Comandita Simples (Key: SOCIEDADE_EMPRESARIA_COMANDITA_SIMPLES, Value: 39)
- 209-7 - Sociedade Empresária em Comandita por Ações (Key: SOCIEDADE_EMPRESARIA_COMANDITA_ACOES, Value: 40)
