# SituacaoEstrangeiro
Enum: SituacaoEstrangeiro
- Asilado (Key: ASILADO, Value: 3)
- Refugiado (Key: REFUGIADO, Value: 4)
- Solicitante de refúgio (Key: SOLICITANTE_REFUGIO, Value: 5)
- Residente em país fronteiro ao Brasil (Key: RESIDENTE_PAIS_FRONTEIRO_BRASIL, Value: 6)
- Deficiente físico com idade igual ou superior 21 anos (Key: DEFICIENTE_FISICO_IDADE_IGUAL_SUPERIOR_21_ANOS, Value: 7)
- Residência provisória e anistiado (situação irregular) (Key: RESIDENCIA_PROVISORIA_ANISTIADO, Value: 8)
- Permanência no Brasil em razão de cônjuge ou filhos brasileiros (Key: PERMANENCIA_RAZAO_CONJUGE_FILHOS_BRASILEIROS, Value: 9)
- Dependente de agente diplomático e/ou consular (Key: DEPENDENTE_AGENTE_DIPLOMATICO_CONSULAR, Value: 10)
- Acordo Mercosul (Key: ACORDO_MERCOSUL, Value: 11)
- Tratado "Amizade, Cooperação e Consulta" de Brasil e Portugal (Key: TRATADO_BRASIL_PORTUGAL, Value: 12)
- Outra condição (Key: OUTRA_CONDICAO, Value: 13)
